Filepath,License,Origin,Comment
starship_launchpad_0.png,Unknown,https://starship-spacex.fandom.com/wiki/Ship_25_(S25)?file=S25.jpg,None
starship_engines_0.png,Unknown,https://x.com/elonmusk/status/1678205301349130240,None
starship_blueprint_0.jpg,Unknown,https://x.com/fael097/status/1336049115856302080/photo/1,None
"SpaceX_logo_black.[svg,png]",Unknown,https://commons.wikimedia.org/wiki/File:SpaceX_logo_black.svg,None
